Scenario - Match to Sample
Logfile written - 06/28/2022 09:56:28

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	1	Picture	ITI	ITI								333	0	1	2997	1	0	next	other	0
	2	Picture	Study	Study								3330	0	1	9990	1	0	next	other	0
	3	Response	1									13820	501	1
	4	Picture	Stim;Practice;0;1;121111211;121111112;Left;0	Stim	Practice	0	1	121111211	121111112	Left	0	43457	0	1	39961	1	0	next	miss	0
	5	Picture	ITI	ITI								83418	0	1	2997	1	0	next	other	0
	6	Picture	Study	Study								86415	0	1	9990	1	0	next	other	0
	8	Picture	Stim;Practice;0;2;211112122;211212112;Left;0	Stim	Practice	0	2	211112122	211212112	Left	0	126542	0	1	39961	1	0	next	miss	0
	9	Picture	ITI	ITI								166503	0	1	2997	1	0	next	other	0
	10	Picture	Study	Study								169500	0	1	9990	1	0	next	other	0
	12	Picture	Stim;Practice;0;3;121111121;121111112;Right;0	Stim	Practice	0	3	121111121	121111112	Right	0	209628	0	1	39961	1	0	next	miss	0
	13	Picture	ITI	ITI								249588	0	1	2997	1	0	next	other	0
	14	Picture	Study	Study								252586	0	1	9990	1	0	next	other	0
	16	Picture	Stim;Practice;0;4;211122211;112122211;Right;0	Stim	Practice	0	4	211122211	112122211	Right	0	292713	0	1	39961	1	0	next	miss	0
	17	Picture	ITI	ITI								332674	0	1	2997	1	0	next	other	0
	18	Picture	Study	Study								335671	0	1	9990	1	0	next	other	0
	20	Picture	Stim;Practice;0;5;121112212;121121212;Right;0	Stim	Practice	0	5	121112212	121121212	Right	0	375798	0	1	39961	1	0	next	miss	0
	21	Picture	ITI	ITI								415759	0	1	2997	1	0	next	other	0
	22	Picture	Study	Study								418756	0	1	9990	1	0	next	other	0
	24	Picture	Stim;Practice;0;6;222111211;122112211;Right;0	Stim	Practice	0	6	222111211	122112211	Right	0	458884	0	1	39961	1	0	next	miss	0
	25	Picture	ITI	ITI								498844	0	1	2997	1	0	next	other	0
	26	Picture	Study	Study								501842	0	1	9990	1	0	next	other	0
	28	Picture	Stim;Practice;0;1;121121111;121112111;Left;0	Stim	Practice	0	1	121121111	121112111	Left	0	541969	0	1	39961	1	0	next	miss	0
	29	Picture	ITI	ITI								581930	0	1	2997	1	0	next	other	0
	30	Picture	Study	Study								584927	0	1	9990	1	0	next	other	0
	32	Picture	Stim;Practice;0;2;211111112;211211111;Left;0	Stim	Practice	0	2	211111112	211211111	Left	0	625054	0	1	39961	1	0	next	miss	0
	33	Picture	ITI	ITI								665015	0	1	2997	1	0	next	other	0
	34	Picture	Study	Study								668012	0	1	9990	1	0	next	other	0
	36	Picture	Stim;Practice;0;3;111111222;211111221;Right;0	Stim	Practice	0	3	111111222	211111221	Right	0	708140	0	1	39961	1	0	next	miss	0
	37	Picture	ITI	ITI								748100	0	1	2997	1	0	next	other	0
	38	Picture	Study	Study								751098	0	1	9990	1	0	next	other	0
	40	Picture	Stim;Practice;0;4;212112211;112112212;Right;0	Stim	Practice	0	4	212112211	112112212	Right	0	791225	0	1	39961	1	0	next	miss	0
	41	Picture	ITI	ITI								831186	0	1	2997	1	0	next	other	0
	42	Picture	Study	Study								834183	0	1	9990	1	0	next	other	0
	44	Picture	Stim;Practice;0;5;211112211;111112212;Right;0	Stim	Practice	0	5	211112211	111112212	Right	0	874310	0	1	39961	1	0	next	miss	0
	45	Picture	ITI	ITI								914271	0	1	2997	1	0	next	other	0
	46	Picture	Study	Study								917268	0	1	9990	1	0	next	other	0
	48	Picture	Stim;Practice;0;6;222211111;221211112;Right;0	Stim	Practice	0	6	222211111	221211112	Right	0	957396	0	1	39961	1	0	next	miss	0
	49	Picture	ITI	ITI								997357	0	1	2997	1	0	next	other	0
	50	Picture	Study	Study								1000354	0	1	9990	1	0	next	other	0
	52	Picture	Stim;Practice;0;1;211221111;211121112;Left;0	Stim	Practice	0	1	211221111	211121112	Left	0	1040481	0	1	39961	1	0	next	miss	0
	53	Picture	ITI	ITI								1080442	0	1	2997	1	0	next	other	0
	54	Picture	Study	Study								1083439	0	1	9990	1	0	next	other	0
	56	Picture	Stim;Practice;0;2;211122112;111122212;Left;0	Stim	Practice	0	2	211122112	111122212	Left	0	1123566	0	1	39961	1	0	next	miss	0
	57	Picture	ITI	ITI								1163527	0	1	2997	1	0	next	other	0
	58	Picture	Study	Study								1166524	0	1	9990	1	0	next	other	0
	60	Picture	Stim;Practice;0;3;111112112;111121112;Right;0	Stim	Practice	0	3	111112112	111121112	Right	0	1206652	0	1	39961	1	0	next	miss	0
	61	Picture	ITI	ITI								1246613	0	1	2997	1	0	next	other	0
	62	Picture	Study	Study								1249610	0	1	9990	1	0	next	other	0
	64	Picture	Stim;Practice;0;4;111111122;112111121;Right;0	Stim	Practice	0	4	111111122	112111121	Right	0	1289737	0	1	39961	1	0	next	miss	0
	65	Picture	ITI	ITI								1329698	0	1	2997	1	0	next	other	0
	66	Picture	Study	Study								1332695	0	1	9990	1	0	next	other	0
	68	Picture	Stim;Practice;0;5;111121211;121111211;Right;0	Stim	Practice	0	5	111121211	121111211	Right	0	1372822	0	1	39961	1	0	next	miss	0
	69	Picture	ITI	ITI								1412783	0	1	2997	1	0	next	other	0
	70	Picture	Study	Study								1415780	0	1	9990	1	0	next	other	0
	72	Picture	Stim;Practice;0;6;111112121;111212111;Right;0	Stim	Practice	0	6	111112121	111212111	Right	0	1455908	0	1	39961	1	0	next	miss	0
	73	Picture	ITI	ITI								1495869	0	1	2997	1	0	next	other	0
	74	Picture	Study	Study								1498866	0	1	9990	1	0	next	other	0
	76	Picture	Stim;Practice;0;1;211111211;111211211;Left;0	Stim	Practice	0	1	211111211	111211211	Left	0	1538993	0	1	39961	1	0	next	miss	0
	77	Picture	ITI	ITI								1578954	0	1	2997	1	0	next	other	0
	78	Picture	Study	Study								1581951	0	1	9990	1	0	next	other	0
	80	Picture	Stim;Practice;0;2;212221111;112221112;Left;0	Stim	Practice	0	2	212221111	112221112	Left	0	1622078	0	1	39961	1	0	next	miss	0
	81	Picture	ITI	ITI								1662039	0	1	2997	1	0	next	other	0
	82	Picture	Study	Study								1665036	0	1	9990	1	0	next	other	0
	84	Picture	Stim;Practice;0;3;122121111;122111121;Right;0	Stim	Practice	0	3	122121111	122111121	Right	0	1705164	0	1	39961	1	0	next	miss	0
	85	Picture	ITI	ITI								1745125	0	1	2997	1	0	next	other	0
	86	Picture	Study	Study								1748122	0	1	9990	1	0	next	other	0
	88	Picture	Stim;Practice;0;4;221211111;121212111;Right;0	Stim	Practice	0	4	221211111	121212111	Right	0	1788249	0	1	39961	1	0	next	miss	0
	89	Picture	ITI	ITI								1828210	0	1	2997	1	0	next	other	0
	90	Picture	Study	Study								1831207	0	1	9990	1	0	next	other	0
	92	Picture	Stim;Practice;0;5;221121211;221121112;Right;0	Stim	Practice	0	5	221121211	221121112	Right	0	1871334	0	1	39961	1	0	next	miss	0
	93	Picture	ITI	ITI								1911295	0	1	2997	1	0	next	other	0
	94	Picture	Study	Study								1914292	0	1	9990	1	0	next	other	0
