Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	212112111	211212111	Left	0		rm_miss	-38146.9
Main	1	2	121112212	211112212	Left	0		rm_miss	-46455.4
Main	1	3	211111211	112111211	Left	0		rm_miss	-54764
Main	1	4	211122111	211112211	Right	0		rm_miss	-63072.5
Main	1	5	122111112	112121112	Right	0		rm_miss	-71381
Main	1	6	211121111	211111121	Right	0		rm_miss	-79689.6
Main	1	1	121211111	111221111	Left	0		rm_miss	-102001.1
Main	1	2	111211121	121111121	Left	0		rm_miss	-110309.6
Main	1	3	112212211	212112211	Left	0		rm_miss	-118618.1
Main	1	4	111121222	121121212	Right	0		rm_miss	-126929.8
Main	1	5	121111112	112111112	Right	0		rm_miss	-135252.2
Main	1	6	121122111	121121112	Right	0		rm_miss	-143572.8
Main	1	1	212212111	211222111	Left	0		rm_miss	-165901.4
Main	1	2	211122112	221121112	Left	0		rm_miss	-174221.9
Main	1	3	111211211	112211111	Left	0		rm_miss	-182542.4
Main	1	4	112111122	122111112	Right	0		rm_miss	-190863
Main	1	5	211112211	111212211	Right	0		rm_miss	-199183.7
Main	1	6	211121211	121121211	Right	0		rm_miss	-207505.7
Main	1	1	221121112	211121122	Left	0		rm_miss	-229835.1
Main	1	2	112211121	122211111	Left	0		rm_miss	-238155.8
Main	1	3	112112111	121112111	Left	0		rm_miss	-246477.5
Main	1	4	211121122	211121212	Right	0		rm_miss	-254799.8
Main	1	5	122121112	122221111	Right	0		rm_miss	-263105.4
Main	1	6	112121111	112211111	Right	0		rm_miss	-271428
Main	1	1	111111222	211111212	Left	0		rm_miss	-293757
Main	1	2	111122112	211121112	Left	0		rm_miss	-302077.8
Main	1	3	112111211	112121111	Left	0		rm_miss	-310398.6
Main	1	4	112211221	112212121	Right	0		rm_miss	-318719.4
Main	1	5	111221221	111122221	Right	0		rm_miss	-327040.2
Main	1	6	121111121	122111111	Right	0		rm_miss	-335346

