Scenario - Match to Sample
Logfile written - 06/28/2022 10:45:13

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	0	Pulse	84									11906	11906	1
	2	Picture	ITI	ITI								152017	0	1	2997	1	0	next	other	0
	3	Picture	Study	Study								155014	0	1	9990	1	0	next	other	0
	5	Picture	Stim;Main;1;1;111121222;111112222;Right;0	Stim	Main	1	1	111121222	111112222	Right	0	195142	0	1	39961	1	0	next	miss	0
	6	Picture	ITI	ITI								235102	0	1	2997	1	0	next	other	0
	7	Picture	Study	Study								238099	0	1	9990	1	0	next	other	0
	9	Picture	Stim;Main;1;2;221121112;221121121;Left;0	Stim	Main	1	2	221121112	221121121	Left	0	278227	0	1	39961	1	0	next	miss	0
	10	Picture	ITI	ITI								318188	0	1	2997	1	0	next	other	0
	11	Picture	Study	Study								321185	0	1	9990	1	0	next	other	0
	13	Picture	Stim;Main;1;3;121111112;121211111;Right;0	Stim	Main	1	3	121111112	121211111	Right	0	361312	0	1	39961	1	0	next	miss	0
	14	Picture	ITI	ITI								401273	0	1	2997	1	0	next	other	0
	15	Picture	Study	Study								404270	0	1	9990	1	0	next	other	0
	17	Picture	Stim;Main;1;4;121111121;121111211;Left;0	Stim	Main	1	4	121111121	121111211	Left	0	444398	0	1	39961	1	0	next	miss	0
	18	Picture	ITI	ITI								484358	0	1	2997	1	0	next	other	0
	19	Picture	Study	Study								487355	0	1	9990	1	0	next	other	0
	21	Picture	Stim;Main;1;5;112212211;111212221;Left;0	Stim	Main	1	5	112212211	111212221	Left	0	527483	0	1	39961	1	0	next	miss	0
	22	Picture	ITI	ITI								567444	0	1	2997	1	0	next	other	0
	23	Picture	Study	Study								570441	0	1	9990	1	0	next	other	0
