Scenario - Match to Sample
Logfile written - 07/04/2022 14:09:15

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	0	Pulse	84									44116	44116	1
	3	Picture	ITI	ITI								364476	0	1	2997	1	0	next	other	0
	4	Picture	Study	Study								367473	0	1	9990	1	0	next	other	0
	6	Picture	Stim;Main;1;1;211121122;211221121;Right;0	Stim	Main	1	1	211121122	211221121	Right	0	404604	0	1	39961	1	0	next	miss	0
	7	Picture	ITI	ITI								444564	0	1	2997	1	0	next	other	0
	8	Picture	Study	Study								447562	0	1	9990	1	0	next	other	0
	10	Picture	Stim;Main;1;2;211121111;111122111;Left;0	Stim	Main	1	2	211121111	111122111	Left	0	484692	0	1	39961	1	0	next	miss	0
	11	Picture	ITI	ITI								524653	0	1	2997	1	0	next	other	0
	12	Picture	Study	Study								527650	0	1	9990	1	0	next	other	0
	14	Picture	Stim;Main;1;3;211211122;211212121;Left;0	Stim	Main	1	3	211211122	211212121	Left	0	564780	0	1	39961	1	0	next	miss	0
	15	Picture	ITI	ITI								604741	0	1	2997	1	0	next	other	0
	16	Picture	Study	Study								607738	0	1	9990	1	0	next	other	0
	18	Picture	Stim;Main;1;4;111211221;111211212;Right;0	Stim	Main	1	4	111211221	111211212	Right	0	644868	0	1	39961	1	0	next	miss	0
	19	Picture	ITI	ITI								684829	0	1	2997	1	0	next	other	0
	20	Picture	Study	Study								687826	0	1	9990	1	0	next	other	0
	22	Picture	Stim;Main;1;5;111212111;111112121;Left;0	Stim	Main	1	5	111212111	111112121	Left	0	724957	0	1	39961	1	0	next	miss	0
	23	Picture	ITI	ITI								764918	0	1	2997	1	0	next	other	0
	24	Picture	Study	Study								767915	0	1	9990	1	0	next	other	0
	26	Picture	Stim;Main;1;6;212121111;212112111;Right;0	Stim	Main	1	6	212121111	212112111	Right	0	805045	0	1	39961	1	0	next	miss	0
	28	Picture	ITI	ITI								985036	0	1	2997	1	0	next	other	0
	29	Picture	Study	Study								988033	0	1	9990	1	0	next	other	0
	31	Picture	Stim;Main;1;1;122211112;112212112;Right;0	Stim	Main	1	1	122211112	112212112	Right	0	1025163	0	1	39961	1	0	next	miss	0
	32	Picture	ITI	ITI								1065124	0	1	2997	1	0	next	other	0
	33	Picture	Study	Study								1068121	0	1	9990	1	0	next	other	0
	35	Picture	Stim;Main;1;2;221111111;212111111;Left;0	Stim	Main	1	2	221111111	212111111	Left	0	1105251	0	1	39961	1	0	next	miss	0
	36	Picture	ITI	ITI								1145212	0	1	2997	1	0	next	other	0
	37	Picture	Study	Study								1148209	0	1	9990	1	0	next	other	0
	39	Picture	Stim;Main;1;3;111211121;112211111;Left;0	Stim	Main	1	3	111211121	112211111	Left	0	1185340	0	1	39961	1	0	next	miss	0
	40	Picture	ITI	ITI								1225300	0	1	2997	1	0	next	other	0
	41	Picture	Study	Study								1228297	0	1	9990	1	0	next	other	0
	43	Picture	Stim;Main;1;4;112111112;211111112;Right;0	Stim	Main	1	4	112111112	211111112	Right	0	1265428	0	1	39961	1	0	next	miss	0
	44	Picture	ITI	ITI								1305389	0	1	2997	1	0	next	other	0
	45	Picture	Study	Study								1308386	0	1	9990	1	0	next	other	0
	47	Picture	Stim;Main;1;5;211122111;212112111;Left;0	Stim	Main	1	5	211122111	212112111	Left	0	1345516	0	1	39961	1	0	next	miss	0
	48	Picture	ITI	ITI								1385477	0	1	2997	1	0	next	other	0
	49	Picture	Study	Study								1388474	0	1	9990	1	0	next	other	0
	51	Picture	Stim;Main;1;6;122111212;122111122;Right;0	Stim	Main	1	6	122111212	122111122	Right	0	1425604	0	1	39961	1	0	next	miss	0
	53	Picture	ITI	ITI								1605595	0	1	2997	1	0	next	other	0
	54	Picture	Study	Study								1608592	0	1	9990	1	0	next	other	0
	56	Picture	Stim;Main;1;1;112112212;112111222;Right;0	Stim	Main	1	1	112112212	112111222	Right	0	1645722	0	1	39961	1	0	next	miss	0
	57	Picture	ITI	ITI								1685683	0	1	2997	1	0	next	other	0
	58	Picture	Study	Study								1688680	0	1	9990	1	0	next	other	0
	60	Picture	Stim;Main;1;2;221111221;222111121;Left;0	Stim	Main	1	2	221111221	222111121	Left	0	1725810	0	1	39961	1	0	next	miss	0
	61	Picture	ITI	ITI								1765771	0	1	2997	1	0	next	other	0
	62	Picture	Study	Study								1768768	0	1	9990	1	0	next	other	0
	64	Picture	Stim;Main;1;3;211121211;221111211;Left;0	Stim	Main	1	3	211121211	221111211	Left	0	1805899	0	1	39961	1	0	next	miss	0
	65	Picture	ITI	ITI								1845860	0	1	2997	1	0	next	other	0
	66	Picture	Study	Study								1848857	0	1	9990	1	0	next	other	0
	68	Picture	Stim;Main;1;4;112211211;111221211;Right;0	Stim	Main	1	4	112211211	111221211	Right	0	1885987	0	1	39961	1	0	next	miss	0
	69	Picture	ITI	ITI								1925948	0	1	2997	1	0	next	other	0
	70	Picture	Study	Study								1928945	0	1	9990	1	0	next	other	0
	72	Picture	Stim;Main;1;5;112121211;111221211;Left;0	Stim	Main	1	5	112121211	111221211	Left	0	1966075	0	1	39961	1	0	next	miss	0
	73	Picture	ITI	ITI								2006036	0	1	2997	1	0	next	other	0
	74	Picture	Study	Study								2009033	0	1	9990	1	0	next	other	0
	76	Picture	Stim;Main;1;6;222112111;212112121;Right;0	Stim	Main	1	6	222112111	212112121	Right	0	2046164	0	1	39961	1	0	next	miss	0
	78	Picture	ITI	ITI								2226154	0	1	2997	1	0	next	other	0
	79	Picture	Study	Study								2229151	0	1	9990	1	0	next	other	0
	81	Picture	Stim;Main;1;1;111221121;111221112;Right;0	Stim	Main	1	1	111221121	111221112	Right	0	2266281	0	1	39961	1	0	next	miss	0
	82	Picture	ITI	ITI								2306242	0	1	2997	1	0	next	other	0
	83	Picture	Study	Study								2309239	0	1	9990	1	0	next	other	0
	85	Picture	Stim;Main;1;2;221112111;211212111;Left;0	Stim	Main	1	2	221112111	211212111	Left	0	2346370	0	1	39961	1	0	next	miss	0
	86	Picture	ITI	ITI								2386331	0	1	2997	1	0	next	other	0
	87	Picture	Study	Study								2389328	0	1	9990	1	0	next	other	0
	89	Picture	Stim;Main;1;3;121111211;122111111;Left;0	Stim	Main	1	3	121111211	122111111	Left	0	2426458	0	1	39961	1	0	next	miss	0
	90	Picture	ITI	ITI								2466419	0	1	2997	1	0	next	other	0
	91	Picture	Study	Study								2469416	0	1	9990	1	0	next	other	0
	93	Picture	Stim;Main;1;4;121111112;211111112;Right;0	Stim	Main	1	4	121111112	211111112	Right	0	2506546	0	1	39961	1	0	next	miss	0
	94	Picture	ITI	ITI								2546507	0	1	2997	1	0	next	other	0
	95	Picture	Study	Study								2549504	0	1	9990	1	0	next	other	0
	97	Picture	Stim;Main;1;5;121121112;121111122;Left;0	Stim	Main	1	5	121121112	121111122	Left	0	2586635	0	1	39961	1	0	next	miss	0
	98	Picture	ITI	ITI								2626595	0	1	2997	1	0	next	other	0
	99	Picture	Study	Study								2629593	0	1	9990	1	0	next	other	0
	101	Picture	Stim;Main;1;6;121212211;122212111;Right;0	Stim	Main	1	6	121212211	122212111	Right	0	2666723	0	1	39961	1	0	next	miss	0
	103	Picture	ITI	ITI								2846713	0	1	2997	1	0	next	other	0
	104	Picture	Study	Study								2849710	0	1	9990	1	0	next	other	0
	106	Picture	Stim;Main;1;1;211221111;211211211;Right;0	Stim	Main	1	1	211221111	211211211	Right	0	2886841	0	1	39961	1	0	next	miss	0
	107	Picture	ITI	ITI								2926802	0	1	2997	1	0	next	other	0
