Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	211121122	211221121	Right	0		rm_miss	-40461.4
Main	1	2	211121111	111122111	Left	0		rm_miss	-48470.2
Main	1	3	211211122	211212121	Left	0		rm_miss	-56479
Main	1	4	111211221	111211212	Right	0		rm_miss	-64487.8
Main	1	5	111212111	111112121	Left	0		rm_miss	-72496.7
Main	1	6	212121111	212112111	Right	0		rm_miss	-80505.5
Main	1	1	122211112	112212112	Right	0		rm_miss	-102517.3
Main	1	2	221111111	212111111	Left	0		rm_miss	-110526.1
Main	1	3	111211121	112211111	Left	0		rm_miss	-118535
Main	1	4	112111112	211111112	Right	0		rm_miss	-126543.8
Main	1	5	211122111	212112111	Left	0		rm_miss	-134552.6
Main	1	6	122111212	122111122	Right	0		rm_miss	-142561.4
Main	1	1	112112212	112111222	Right	0		rm_miss	-164573.2
Main	1	2	221111221	222111121	Left	0		rm_miss	-172582
Main	1	3	211121211	221111211	Left	0		rm_miss	-180590.9
Main	1	4	112211211	111221211	Right	0		rm_miss	-188599.7
Main	1	5	112121211	111221211	Left	0		rm_miss	-196608.5
Main	1	6	222112111	212112121	Right	0		rm_miss	-204617.4
Main	1	1	111221121	111221112	Right	0		rm_miss	-226629.1
Main	1	2	221112111	211212111	Left	0		rm_miss	-234638
Main	1	3	121111211	122111111	Left	0		rm_miss	-242646.8
Main	1	4	121111112	211111112	Right	0		rm_miss	-250655.6
Main	1	5	121121112	121111122	Left	0		rm_miss	-258664.5
Main	1	6	121212211	122212111	Right	0		rm_miss	-266673.3
Main	1	1	211221111	211211211	Right	0		rm_miss	-288685.1
Main	1	2	111121211	111211211	Left	0		rm_miss	-296693.9
Main	1	3	121121111	112121111	Left	0		rm_miss	-304702.7
Main	1	4	111211112	211111112	Right	0		rm_miss	-312711.6
Main	1	5	221122111	121122112	Left	0		rm_miss	-320720.4
Main	1	6	222111112	212111122	Right	0		rm_miss	-328729.2

