Scenario - Match to Sample
Logfile written - 07/04/2022 13:42:36

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	0	Pulse	84									48177	48177	1
	3	Picture	ITI	ITI								368471	0	1	2997	1	0	next	other	0
	4	Picture	Study	Study								371468	0	1	9990	1	0	next	other	0
	6	Picture	Stim;Main;1;1;112111112;211111112;Right;0	Stim	Main	1	1	112111112	211111112	Right	0	411596	0	1	39961	1	0	next	miss	0
	7	Picture	ITI	ITI								451556	0	1	2997	1	0	next	other	0
	8	Picture	Study	Study								454553	0	1	9990	1	0	next	other	0
	10	Picture	Stim;Main;1;2;112121211;111221211;Right;0	Stim	Main	1	2	112121211	111221211	Right	0	494681	0	1	39961	1	0	next	miss	0
	11	Picture	ITI	ITI								534642	0	1	2997	1	0	next	other	0
	12	Picture	Study	Study								537639	0	1	9990	1	0	next	other	0
	14	Picture	Stim;Main;1;3;111121211;111211211;Right;0	Stim	Main	1	3	111121211	111211211	Right	0	577766	0	1	39961	1	0	next	miss	0
	15	Picture	ITI	ITI								617727	0	1	2997	1	0	next	other	0
	16	Picture	Study	Study								620724	0	1	9990	1	0	next	other	0
	18	Picture	Stim;Main;1;4;211211122;211212121;Left;0	Stim	Main	1	4	211211122	211212121	Left	0	660852	0	1	39961	1	0	next	miss	0
	19	Picture	ITI	ITI								700812	0	1	2997	1	0	next	other	0
	20	Picture	Study	Study								703809	0	1	9990	1	0	next	other	0
	22	Picture	Stim;Main;1;5;111211121;112211111;Left;0	Stim	Main	1	5	111211121	112211111	Left	0	743937	0	1	39961	1	0	next	miss	0
	23	Picture	ITI	ITI								783898	0	1	2997	1	0	next	other	0
	24	Picture	Study	Study								786895	0	1	9990	1	0	next	other	0
	26	Picture	Stim;Main;1;6;211122111;212112111;Left;0	Stim	Main	1	6	211122111	212112111	Left	0	827022	0	1	39961	1	0	next	miss	0
	28	Picture	ITI	ITI								1007013	0	1	2997	1	0	next	other	0
	29	Picture	Study	Study								1010010	0	1	9990	1	0	next	other	0
