Scenario - Match to Sample
Logfile written - 06/28/2022 10:22:15

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	0	Pulse	84									12455	12455	1
	2	Picture	ITI	ITI								152517	0	1	2997	1	0	next	other	0
	3	Picture	Study	Study								155514	0	1	9990	1	0	next	other	0
	5	Picture	Stim;Main;1;1;2111111111112111111112112;2111111111112112111111112;Right;0	Stim	Main	1	1	2111111111112111111112112	2111111111112112111111112	Right	0	195641	0	1	39961	1	0	next	miss	0
	6	Picture	ITI	ITI								235602	0	1	2997	1	0	next	other	0
	7	Picture	Study	Study								238599	0	1	9990	1	0	next	other	0
	9	Picture	Stim;Main;1;2;1111111211111111111111211;1211111211111111111111111;Left;0	Stim	Main	1	2	1111111211111111111111211	1211111211111111111111111	Left	0	278727	0	1	39961	1	0	next	miss	0
	10	Picture	ITI	ITI								318688	0	1	2997	1	0	next	other	0
	11	Picture	Study	Study								321685	0	1	9990	1	0	next	other	0
	13	Picture	Stim;Main;1;3;1111111122111111111111111;2111111121111111111111111;Right;0	Stim	Main	1	3	1111111122111111111111111	2111111121111111111111111	Right	0	361812	0	1	39961	1	0	next	miss	0
	14	Picture	ITI	ITI								401773	0	1	2997	1	0	next	other	0
	15	Picture	Study	Study								404770	0	1	9990	1	0	next	other	0
	17	Picture	Stim;Main;1;4;1111211112121111111111121;1111211112211111111111121;Right;0	Stim	Main	1	4	1111211112121111111111121	1111211112211111111111121	Right	0	444897	0	1	39961	1	0	next	miss	0
	18	Picture	ITI	ITI								484858	0	1	2997	1	0	next	other	0
	19	Picture	Study	Study								487855	0	1	9990	1	0	next	other	0
	21	Picture	Stim;Main;1;5;1111121111111111121111111;1121121111111111111111111;Left;0	Stim	Main	1	5	1111121111111111121111111	1121121111111111111111111	Left	0	527983	0	1	39961	1	0	next	miss	0
	22	Picture	ITI	ITI								567944	0	1	2997	1	0	next	other	0
	23	Picture	Study	Study								570941	0	1	9990	1	0	next	other	0
	25	Picture	Stim;Main;1;6;1111111111111111111221112;1111111111111121111211112;Left;0	Stim	Main	1	6	1111111111111111111221112	1111111111111121111211112	Left	0	611068	0	1	25504	1	0	next	miss	0
	25	Quit										631768	20700	NA
