Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	111121222	111112222	Right	0		rm_miss	-19515.2
Main	1	2	221121112	221121121	Left	0		rm_miss	-27823.7
Main	1	3	121111112	121211111	Right	0		rm_miss	-36132.2
Main	1	4	121111121	121111211	Left	0		rm_miss	-44440.8
Main	1	5	112212211	111212221	Left	0		rm_miss	-52749.3
Main	1	6	122121112	222121111	Right	0		rm_miss	-61058.3
Main	1	1	211122112	112122112	Right	0		rm_miss	-83373.7
Main	1	2	211112211	221111211	Left	0		rm_miss	-91680.4
Main	1	3	121211111	111211211	Right	0		rm_miss	-100004
Main	1	4	211121211	112121211	Left	0		rm_miss	-108311.8
Main	1	5	121112212	221112112	Left	0		rm_miss	-116620
Main	1	6	112111122	122111112	Right	0		rm_miss	-124926.9
Main	1	1	211111211	111112211	Right	0		rm_miss	-147243
Main	1	2	211121111	211112111	Left	0		rm_miss	-155551.3
Main	1	3	211122111	211112211	Right	0		rm_miss	-163875.3
Main	1	4	111211211	111111221	Left	0		rm_miss	-172199.2
Main	1	5	122111112	222111111	Left	0		rm_miss	-180522.1
Main	1	6	112211221	112112221	Right	0		rm_miss	-188828.3
Main	1	1	112112111	212111111	Right	0		rm_miss	-211147.5
Main	1	2	212112111	211212111	Left	0		rm_miss	-219469.9
Main	1	3	212212111	212211211	Right	0		rm_miss	-227776.6
Main	1	4	111122112	111112212	Left	0		rm_miss	-236099.5
Main	1	5	112211121	112211112	Left	0		rm_miss	-244406.4
Main	1	6	121122111	121112112	Right	0		rm_miss	-252729.1
Main	1	1	112111211	121111211	Right	0		rm_miss	-275061
Main	1	2	112121111	112211111	Left	0		rm_miss	-283383.5
Main	1	3	111211121	121211111	Right	0		rm_miss	-291689.5
Main	1	4	211121122	211121212	Left	0		rm_miss	-299997.6
Main	1	5	111111222	111112221	Left	0		rm_miss	-308303.8
Main	1	6	111221221	121221121	Right	0		rm_miss	-316626.5

