Scenario - Match to Sample
Logfile written - 07/04/2022 13:29:43

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	0	Pulse	84									4959	4959	1
	3	Picture	ITI	ITI								325181	0	1	2997	1	0	next	other	0
	4	Picture	Study	Study								328178	0	1	9990	1	0	next	other	0
	6	Picture	Stim;Main;1;1;112111112;111211112;Right;0	Stim	Main	1	1	112111112	111211112	Right	0	368306	0	1	39961	1	0	next	miss	0
	7	Picture	ITI	ITI								408267	0	1	2997	1	0	next	other	0
	8	Picture	Study	Study								411264	0	1	9990	1	0	next	other	0
	10	Picture	Stim;Main;1;2;111211112;211211111;Left;0	Stim	Main	1	2	111211112	211211111	Left	0	451391	0	1	39961	1	0	next	miss	0
	11	Picture	ITI	ITI								491352	0	1	2997	1	0	next	other	0
	12	Picture	Study	Study								494349	0	1	9990	1	0	next	other	0
	14	Picture	Stim;Main;1;3;112121211;112122111;Left;0	Stim	Main	1	3	112121211	112122111	Left	0	534476	0	1	39961	1	0	next	miss	0
	15	Picture	ITI	ITI								574437	0	1	2997	1	0	next	other	0
	16	Picture	Study	Study								577434	0	1	9990	1	0	next	other	0
	18	Picture	Stim;Main;1;4;112211211;112111212;Left;0	Stim	Main	1	4	112211211	112111212	Left	0	617562	0	1	39961	1	0	next	miss	0
	19	Picture	ITI	ITI								657523	0	1	2997	1	0	next	other	0
	20	Picture	Study	Study								660520	0	1	9990	1	0	next	other	0
	22	Picture	Stim;Main;1;5;221111221;222111121;Right;0	Stim	Main	1	5	221111221	222111121	Right	0	700647	0	1	39961	1	0	next	miss	0
	23	Picture	ITI	ITI								740608	0	1	2997	1	0	next	other	0
	24	Picture	Study	Study								743605	0	1	9990	1	0	next	other	0
	26	Picture	Stim;Main;1;6;212121111;211122111;Right;0	Stim	Main	1	6	212121111	211122111	Right	0	783732	0	1	34833	1	0	next	miss	0
	26	Quit										813608	29875	NA
