Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	1111121121112111111111111	1211111121112111111111111	Right	0	2	rm_hit	1313.6
Main	1	2	1121111112111111111111111	1121111111121111111111111	Right	0	2	rm_hit	773.4
Main	1	3	1111111111121111221211111	1111111111121111121211112	Left	0	1	rm_hit	936.6
Main	1	4	2112111111111121111121111	2112211111111111111121111	Left	0	1	rm_hit	1036
Main	1	5	1111112111111111111112111	1111112111211111111111111	Right	0	2	rm_hit	1023.4
Main	1	6	1111121111111111121111111	1111111111111111121111211	Left	0	1	rm_hit	706.9
Main	1	1	1111222111111111111111112	1111222111111111112111111	Right	0	2	rm_hit	1443.4
Main	1	2	1111111211111111121111121	1121111211111111111111121	Right	0	2	rm_hit	1063.1
Main	1	3	1112111111111121111121121	1112111111111111111121122	Left	0	2	rm_incorrect	3401.1
Main	1	4	1111112121111111111111111	1111112111111112111111111	Left	0	1	rm_hit	814.1
Main	1	5	1111111121211111111111111	1111111121111111111121111	Right	0	2	rm_hit	1134.4
Main	1	6	2121111111111111111111211	2121111111111111111111112	Left	0	1	rm_hit	1009.9
Main	1	1	1111111111112111211111111	1111111111111112211111111	Right	0	1	rm_incorrect	2385.9
Main	1	2	1211111211111211111111111	1111111212111211111111111	Right	0	2	rm_hit	902.4
Main	1	3	1121111111121111211112111	1111111111121111211122111	Left	0	1	rm_hit	1001.7
Main	1	4	1111111112111111121111111	1111111121111111121111111	Left	0	1	rm_hit	2620.2
Main	1	5	1212111111112211111111111	1211111111122211111111111	Right	0	2	rm_hit	1616.1
Main	1	6	1111111111121111111111211	1111111111121111111112111	Left	0	1	rm_hit	1091.2
Main	1	1	1111221112111111111111121	1111211112111112111111121	Right	0	1	rm_incorrect	2947
Main	1	2	2111111111111111211111111	2111111111111112111111111	Right	0	2	rm_hit	1863.2
Main	1	3	1211111111111211111111111	1211121111111111111111111	Left	0	1	rm_hit	1610.7
Main	1	4	1111111111112111111121111	1111111111111111112121111	Left	0	1	rm_hit	878.5
Main	1	5	1111212121111111111211111	1111212111111121111211111	Right	0	2	rm_hit	1362
Main	1	6	1211111111211111111111111	1111111111211111121111111	Left	0	1	rm_hit	838
Main	1	1	1112212111111211111111111	1111212111111211111111211	Right	0	2	rm_hit	998.9
Main	1	2	1111111111112121111212111	1111111121111121111212111	Right	0	1	rm_incorrect	2585.3
Main	1	3	1111111111112121111211211	2111111111112121111111211	Left	0	1	rm_hit	1421.6
Main	1	4	2111111121111111111111111	2111111111121111111111111	Left	0	1	rm_hit	1249.1
Main	1	5	1211111111121111111121111	1211111111111111111221111	Right	0	2	rm_hit	1316.4
Main	1	6	1111111121112121111111121	1111121121112121111111111	Left	0	1	rm_hit	1159.9

