Scenario - Match to Sample
Logfile written - 06/23/2022 09:11:12

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	1	Picture	ITI	ITI								333	0	1	1998	1	0	next	other	0
	2	Picture	Study	Study								2331	0	1	9990	1	0	next	other	0
	4	Picture	Stim;Practice;0;1;1121111122121111111111111;1111112122121111111111111;Left;0	Stim	Practice	0	1	1121111122121111111111111	1111112122121111111111111	Left	0	42458	0	1	39961	1	0	next	miss	0
	5	Picture	ITI	ITI								82419	0	1	1998	1	0	next	other	0
	6	Picture	Study	Study								84417	0	1	9990	1	0	next	other	0
	8	Picture	Stim;Practice;0;1;1112112111111111111122111;1111212111111111111122111;Left;0	Stim	Practice	0	1	1112112111111111111122111	1111212111111111111122111	Left	0	124544	0	1	39961	1	0	next	miss	0
	9	Picture	ITI	ITI								164505	0	1	1998	1	0	next	other	0
	10	Picture	Study	Study								166503	0	1	9990	1	0	next	other	0
	12	Picture	Stim;Practice;0;1;1112111111112111111121112;1112111111111111121121112;Left;0	Stim	Practice	0	1	1112111111112111111121112	1112111111111111121121112	Left	0	206631	0	1	39961	1	0	next	miss	0
	13	Picture	ITI	ITI								246592	0	1	1998	1	0	next	other	0
	14	Picture	Study	Study								248590	0	1	9990	1	0	next	other	0
	16	Picture	Stim;Practice;0;1;1121211111111111121111121;1121211211111111111111121;Left;0	Stim	Practice	0	1	1121211111111111121111121	1121211211111111111111121	Left	0	288717	0	1	39961	1	0	next	miss	0
	17	Picture	ITI	ITI								328678	0	1	1998	1	0	next	other	0
	18	Picture	Study	Study								330676	0	1	9990	1	0	next	other	0
	20	Picture	Stim;Practice;0;1;1111111121111111112111111;1111111121111111211111111;Left;0	Stim	Practice	0	1	1111111121111111112111111	1111111121111111211111111	Left	0	370803	0	1	39961	1	0	next	miss	0
	21	Picture	ITI	ITI								410764	0	1	1998	1	0	next	other	0
	22	Picture	Study	Study								412762	0	1	9990	1	0	next	other	0
	24	Picture	Stim;Practice;0;1;1112111111111111111211111;1111111111112111111211111;Left;0	Stim	Practice	0	1	1112111111111111111211111	1111111111112111111211111	Left	0	452890	0	1	39961	1	0	next	miss	0
	25	Picture	ITI	ITI								492851	0	1	1998	1	0	next	other	0
	26	Picture	Study	Study								494849	0	1	9990	1	0	next	other	0
	28	Picture	Stim;Practice;0;1;1211111111111112111211111;1211111111211112111111111;Left;0	Stim	Practice	0	1	1211111111111112111211111	1211111111211112111111111	Left	0	534976	0	1	39961	1	0	next	miss	0
	29	Picture	ITI	ITI								574937	0	1	1998	1	0	next	other	0
	30	Picture	Study	Study								576935	0	1	9990	1	0	next	other	0
	32	Picture	Stim;Practice;0;1;1112111111111111211111111;1112112111111111111111111;Left;0	Stim	Practice	0	1	1112111111111111211111111	1112112111111111111111111	Left	0	617062	0	1	39961	1	0	next	miss	0
	33	Picture	ITI	ITI								657023	0	1	1998	1	0	next	other	0
	34	Picture	Study	Study								659021	0	1	9990	1	0	next	other	0
	36	Picture	Stim;Practice;0;1;1111111111121111111111211;1111112111111111111111211;Left;0	Stim	Practice	0	1	1111111111121111111111211	1111112111111111111111211	Left	0	699149	0	1	39961	1	0	next	miss	0
	37	Picture	ITI	ITI								739110	0	1	1998	1	0	next	other	0
	38	Picture	Study	Study								741108	0	1	9990	1	0	next	other	0
