Scenario - Match to Sample
Logfile written - 06/29/2022 16:01:31

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	0	Pulse	84									17992	17992	1
	3	Picture	ITI	ITI								338335	0	1	2997	1	0	next	other	0
	4	Picture	Study	Study								341332	0	1	9990	1	0	next	other	0
	6	Picture	Stim;Main;1;1;212112111;211212111;Left;0	Stim	Main	1	1	212112111	211212111	Left	0	381459	0	1	39961	1	0	next	miss	0
	7	Picture	ITI	ITI								421420	0	1	2997	1	0	next	other	0
	8	Picture	Study	Study								424417	0	1	9990	1	0	next	other	0
	10	Picture	Stim;Main;1;2;121112212;211112212;Left;0	Stim	Main	1	2	121112212	211112212	Left	0	464544	0	1	39961	1	0	next	miss	0
	11	Picture	ITI	ITI								504505	0	1	2997	1	0	next	other	0
	12	Picture	Study	Study								507502	0	1	9990	1	0	next	other	0
	14	Picture	Stim;Main;1;3;211111211;112111211;Left;0	Stim	Main	1	3	211111211	112111211	Left	0	547630	0	1	39961	1	0	next	miss	0
	15	Picture	ITI	ITI								587591	0	1	2997	1	0	next	other	0
	16	Picture	Study	Study								590588	0	1	9990	1	0	next	other	0
	18	Picture	Stim;Main;1;4;211122111;211112211;Right;0	Stim	Main	1	4	211122111	211112211	Right	0	630715	0	1	39961	1	0	next	miss	0
	19	Picture	ITI	ITI								670676	0	1	2997	1	0	next	other	0
	20	Picture	Study	Study								673673	0	1	9990	1	0	next	other	0
	22	Picture	Stim;Main;1;5;122111112;112121112;Right;0	Stim	Main	1	5	122111112	112121112	Right	0	713800	0	1	39961	1	0	next	miss	0
	23	Picture	ITI	ITI								753761	0	1	2997	1	0	next	other	0
	24	Picture	Study	Study								756758	0	1	9990	1	0	next	other	0
	26	Picture	Stim;Main;1;6;211121111;211111121;Right;0	Stim	Main	1	6	211121111	211111121	Right	0	796886	0	1	39961	1	0	next	miss	0
	28	Picture	ITI	ITI								976876	0	1	2997	1	0	next	other	0
	29	Picture	Study	Study								979873	0	1	9990	1	0	next	other	0
	31	Picture	Stim;Main;1;1;121211111;111221111;Left;0	Stim	Main	1	1	121211111	111221111	Left	0	1020001	0	1	39961	1	0	next	miss	0
	32	Picture	ITI	ITI								1059962	0	1	2997	1	0	next	other	0
	33	Picture	Study	Study								1062959	0	1	9990	1	0	next	other	0
	35	Picture	Stim;Main;1;2;111211121;121111121;Left;0	Stim	Main	1	2	111211121	121111121	Left	0	1103086	0	1	39961	1	0	next	miss	0
