Scenario - Match to Sample
Logfile written - 06/23/2022 09:21:12

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	0	Pulse	84									39301	39301	1
	2	Picture	ITI	ITI								179490	0	1	1998	1	0	next	other	0
	3	Picture	Study	Study								181488	0	1	9990	1	0	next	other	0
	5	Picture	Stim;Main;1;1;1111111211212111111111112;1111112211112111111111112;Right;0	Stim	Main	1	1	1111111211212111111111112	1111112211112111111111112	Right	0	221615	0	1	39961	1	0	next	miss	0
	6	Picture	ITI	ITI								261576	0	1	1998	1	0	next	other	0
	7	Picture	Study	Study								263574	0	1	9990	1	0	next	other	0
	9	Picture	Stim;Main;1;2;2111111112112112111111111;2111211112112111111111111;Right;0	Stim	Main	1	2	2111111112112112111111111	2111211112112111111111111	Right	0	303702	0	1	39961	1	0	next	incorrect	8
	9	Response	1									318043	14341	1
	10	Picture	ITI	ITI								343663	0	1	1998	1	0	next	other	0
	11	Picture	Study	Study								345661	0	1	9990	1	0	next	other	0
	13	Picture	Stim;Main;1;3;2111112111111111111111211;2111112111121111111111111;Left;0	Stim	Main	1	3	2111112111111111111111211	2111112111121111111111111	Left	0	385788	0	1	39961	1	0	next	miss	0
	14	Picture	ITI	ITI								425749	0	1	1998	1	0	next	other	0
	15	Picture	Study	Study								427747	0	1	9990	1	0	next	other	0
	17	Picture	Stim;Main;1;4;1111111121111112111111111;1211111121111111111111111;Left;0	Stim	Main	1	4	1111111121111112111111111	1211111121111111111111111	Left	0	467874	0	1	39961	1	0	next	miss	0
	18	Picture	ITI	ITI								507835	0	1	1998	1	0	next	other	0
	19	Picture	Study	Study								509833	0	1	9990	1	0	next	other	0
	21	Picture	Stim;Main;1;5;1111111111121111111112111;2111111111111111111112111;Right;0	Stim	Main	1	5	1111111111121111111112111	2111111111111111111112111	Right	0	549961	0	1	39961	1	0	next	miss	0
	22	Picture	ITI	ITI								589922	0	1	1998	1	0	next	other	0
	23	Picture	Study	Study								591920	0	1	9990	1	0	next	other	0
	25	Picture	Stim;Main;1;6;2111111111111112122111111;1121111111111112122111111;Left;0	Stim	Main	1	6	2111111111111112122111111	1121111111111112122111111	Left	0	632047	0	1	39961	1	0	next	hit	21
	25	Response	1									640321	8274	1
	27	Picture	ITI	ITI								812038	0	1	1998	1	0	next	other	0
	28	Picture	Study	Study								814036	0	1	9990	1	0	next	other	0
