Scenario - Match to Sample
Logfile written - 06/24/2022 11:03:27

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	0	Pulse	84									11183	11183	1
	2	Picture	ITI	ITI								151351	0	1	1998	1	0	next	other	0
	3	Picture	Study	Study								153350	0	1	9990	1	0	next	other	0
	5	Picture	Stim;Main;1;1;212111122;122111122;Left;0	Stim	Main	1	1	212111122	122111122	Left	0	193477	0	1	39961	1	0	next	miss	0
	6	Picture	ITI	ITI								233438	0	1	1998	1	0	next	other	0
	7	Picture	Study	Study								235436	0	1	9990	1	0	next	other	0
	9	Picture	Stim;Main;1;2;211121211;211122111;Left;0	Stim	Main	1	2	211121211	211122111	Left	0	275563	0	1	39961	1	0	next	miss	0
	10	Picture	ITI	ITI								315524	0	1	1998	1	0	next	other	0
	11	Picture	Study	Study								317522	0	1	9990	1	0	next	other	0
	13	Picture	Stim;Main;1;3;211112111;212111111;Right;0	Stim	Main	1	3	211112111	212111111	Right	0	357650	0	1	39961	1	0	next	miss	0
	14	Picture	ITI	ITI								397610	0	1	1998	1	0	next	other	0
	15	Picture	Study	Study								399608	0	1	9990	1	0	next	other	0
	17	Picture	Stim;Main;1;4;121222111;121122121;Right;0	Stim	Main	1	4	121222111	121122121	Right	0	439736	0	1	39961	1	0	next	miss	0
	18	Picture	ITI	ITI								479697	0	1	1998	1	0	next	other	0
	19	Picture	Study	Study								481695	0	1	9990	1	0	next	other	0
	21	Picture	Stim;Main;1;5;121111212;221111112;Left;0	Stim	Main	1	5	121111212	221111112	Left	0	521822	0	1	39961	1	0	next	miss	0
	22	Picture	ITI	ITI								561783	0	1	1998	1	0	next	other	0
	23	Picture	Study	Study								563781	0	1	9990	1	0	next	other	0
	25	Picture	Stim;Main;1;6;221111221;211121221;Right;0	Stim	Main	1	6	221111221	211121221	Right	0	603908	0	1	39961	1	0	next	miss	0
	27	Picture	ITI	ITI								783899	0	1	1998	1	0	next	other	0
	28	Picture	Study	Study								785897	0	1	9990	1	0	next	other	0
	30	Picture	Stim;Main;1;1;211212111;121212111;Left;0	Stim	Main	1	1	211212111	121212111	Left	0	826024	0	1	39961	1	0	next	miss	0
	31	Picture	ITI	ITI								865985	0	1	1998	1	0	next	other	0
	32	Picture	Study	Study								867983	0	1	14459	1	0	next	other	0
	32	Quit										877233	9249	NA
