Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	1111111211212111111111112	1111112211112111111111112	Right	0		rm_miss	-22162.5
Main	1	2	2111111112112112111111111	2111211112112111111111111	Right	0	1	rm_incorrect	1434.1
Main	1	3	2111112111111111111111211	2111112111121111111111111	Left	0		rm_miss	-38579.8
Main	1	4	1111111121111112111111111	1211111121111111111111111	Left	0		rm_miss	-46788.4
Main	1	5	1111111111121111111112111	2111111111111111111112111	Right	0		rm_miss	-54997.1
Main	1	6	2111111111111112122111111	1121111111111112122111111	Left	0	1	rm_hit	827.4
Main	1	1	2121111111111111111111212	2111111111121111111111212	Right	0		rm_miss	-85417.3
Main	1	2	1112111111111211211121111	1111111111111211221121111	Right	0		rm_miss	-93625.9
Main	1	3	1111111122111111111112111	1111111122211111111111111	Left	0		rm_miss	-101834.6
Main	1	4	1111211111211111111112111	2111211111211111111111111	Left	0		rm_miss	-110043.2
Main	1	5	1112111111111111211211111	1111111111111111212211111	Right	0		rm_miss	-118251.8
Main	1	6	1121111111121211111111111	1111112111121211111111111	Left	0		rm_miss	-126460.5
Main	1	1	1111111121111111121111111	1121111111111111121111111	Right	0		rm_miss	-148672
Main	1	2	1121111112111121111111111	1121111112112111111111111	Right	0		rm_miss	-156880.7
Main	1	3	1111211111111111211211111	1111111111111111211212111	Left	0		rm_miss	-165089.3
Main	1	4	1122112112111111111111111	1121112112111121111111111	Left	0		rm_miss	-173297.9
Main	1	5	2112111111111111111111111	1112111111111112111111111	Right	0		rm_miss	-181506.6
Main	1	6	1111111111211111111112122	1111121111211111111112121	Left	0		rm_miss	-189715.2
Main	1	1	1211211111121111111111111	1111211111121111111111112	Right	0		rm_miss	-211926.8
Main	1	2	1111111111111211112211112	1111111111211211111211112	Right	0		rm_miss	-220135.4
Main	1	3	1111111111111112111121111	1111111111111112211111111	Left	0		rm_miss	-228344.1
Main	1	4	1111111111211111111111221	1111111111211111111211211	Left	0		rm_miss	-236552.7
Main	1	5	1111121111111121111111111	1111111111112121111111111	Right	0		rm_miss	-244761.3
Main	1	6	1111212111111111111111111	1111211111111121111111111	Left	0		rm_miss	-252970
Main	1	1	1211111111121111111111121	1211111111111111211111121	Right	0		rm_miss	-275181.5

