Scenario - Match to Sample
Logfile written - 06/28/2022 12:07:44

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	0	Pulse	84									90283	90283	1
	2	Picture	ITI	ITI								230441	0	1	2997	1	0	next	other	0
	3	Picture	Study	Study								233438	0	1	9990	1	0	next	other	0
	5	Picture	Stim;Main;1;1;211121211;111221211;Right;0	Stim	Main	1	1	211121211	111221211	Right	0	273565	0	1	39961	1	0	next	miss	0
	6	Picture	ITI	ITI								313526	0	1	2997	1	0	next	other	0
	7	Picture	Study	Study								316523	0	1	9990	1	0	next	other	0
	9	Picture	Stim;Main;1;2;121112212;221112211;Left;0	Stim	Main	1	2	121112212	221112211	Left	0	356651	0	1	39961	1	0	next	miss	0
	10	Picture	ITI	ITI								396611	0	1	2997	1	0	next	other	0
	11	Picture	Study	Study								399609	0	1	9990	1	0	next	other	0
	13	Picture	Stim;Main;1;3;212112111;211112112;Left;0	Stim	Main	1	3	212112111	211112112	Left	0	439736	0	1	39961	1	0	next	miss	0
	14	Picture	ITI	ITI								479697	0	1	2997	1	0	next	other	0
	15	Picture	Study	Study								482694	0	1	9990	1	0	next	other	0
	17	Picture	Stim;Main;1;4;121111112;121211111;Right;0	Stim	Main	1	4	121111112	121211111	Right	0	522821	0	1	39961	1	0	next	miss	0
	18	Picture	ITI	ITI								562782	0	1	2997	1	0	next	other	0
	19	Picture	Study	Study								565779	0	1	9990	1	0	next	other	0
	21	Picture	Stim;Main;1;5;212212111;211212121;Left;0	Stim	Main	1	5	212212111	211212121	Left	0	605907	0	1	39961	1	0	next	miss	0
	22	Picture	ITI	ITI								645867	0	1	2997	1	0	next	other	0
	23	Picture	Study	Study								648865	0	1	9990	1	0	next	other	0
	25	Picture	Stim;Main;1;6;112111211;111111212;Right;0	Stim	Main	1	6	112111211	111111212	Right	0	688992	0	1	39961	1	0	next	miss	0
	27	Picture	ITI	ITI								868982	0	1	2997	1	0	next	other	0
	28	Picture	Study	Study								871979	0	1	9990	1	0	next	other	0
	30	Picture	Stim;Main;1;1;111121222;121121212;Right;0	Stim	Main	1	1	111121222	121121212	Right	0	912107	0	1	39961	1	0	next	miss	0
	31	Picture	ITI	ITI								952068	0	1	2997	1	0	next	other	0
	32	Picture	Study	Study								955065	0	1	9990	1	0	next	other	0
	34	Picture	Stim;Main;1;2;112111122;111111222;Left;0	Stim	Main	1	2	112111122	111111222	Left	0	995192	0	1	39961	1	0	next	miss	0
	35	Picture	ITI	ITI								1035153	0	1	2997	1	0	next	other	0
	36	Picture	Study	Study								1038150	0	1	9990	1	0	next	other	0
	37	Quit										1065510	17370	NA
