Block Name	Block Number	Trial Number	Study Grid	Distractor Grid	Correct Side	Delay	Response	Accuracy	RT
Main	1	1	221111111	121111211	Right	0	2	rm_hit	802.8
Main	1	2	112211211	112211112	Right	0	2	rm_hit	1003.3
Main	1	3	122112111	122111112	Left	0	1	rm_hit	1090.8
Main	1	4	111121112	111221111	Left	0	1	rm_hit	984.5
Main	1	5	111112121	112112111	Left	0	1	rm_hit	2475.1
Main	1	6	112221121	112221211	Right	0	2	rm_hit	1433.5
Main	1	1	221111121	221121111	Right	0	2	rm_hit	1110.5
Main	1	2	112221121	121221121	Right	0	1	rm_incorrect	1870.1
Main	1	3	112112221	111112222	Left	0	1	rm_hit	1424.5
Main	1	4	121211112	111211212	Left	0	1	rm_hit	935.2
Main	1	5	111122111	111121112	Left	0	1	rm_hit	778.7
Main	1	6	222112111	222111211	Right	0	2	rm_hit	1069.4
Main	1	1	211112111	112112111	Right	0	2	rm_hit	1349.3
Main	1	2	121212111	211212111	Right	0	2	rm_hit	1217.8
Main	1	3	111111222	111211221	Left	0	1	rm_hit	2612.3
Main	1	4	121111121	122111111	Left	0	1	rm_hit	1125
Main	1	5	111112122	121111122	Left	0	1	rm_hit	885.4
Main	1	6	121122211	121121221	Right	0	1	rm_incorrect	3577.1
Main	1	1	112122121	112112122	Right	0	2	rm_hit	961.2
Main	1	2	112111212	112112112	Right	0	2	rm_hit	839.6
Main	1	3	222111111	122111112	Left	0	1	rm_hit	1060.2
Main	1	4	121222111	121221121	Left	0	1	rm_hit	952.8
Main	1	5	111211122	111211212	Left	0	1	rm_hit	919.4
Main	1	6	111222111	121122111	Right	0	2	rm_hit	1358.9
Main	1	1	121211221	111211222	Right	0	2	rm_hit	912.8
Main	1	2	112122111	111122121	Right	0	2	rm_hit	2808.4
Main	1	3	121121122	121111222	Left	0	1	rm_hit	1179.1
Main	1	4	111112121	111122111	Left	0	1	rm_hit	942.5
Main	1	5	111112122	111212112	Left	0	1	rm_hit	993.2
Main	1	6	121111211	121111112	Right	0	2	rm_hit	1970.6

