Scenario - Match to Sample
Logfile written - 06/23/2022 12:07:04

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	0	Pulse	84									76525	76525	1
	2	Picture	ITI	ITI								216621	0	1	1998	1	0	next	other	0
	3	Picture	Study	Study								218619	0	1	9990	1	0	next	other	0
	5	Picture	Stim;Main;1;1;1111111111211111111212111;1111111111111111111212211;Right;0	Stim	Main	1	1	1111111111211111111212111	1111111111111111111212211	Right	0	258746	0	1	39961	1	0	next	miss	0
	6	Picture	ITI	ITI								298707	0	1	1998	1	0	next	other	0
	7	Picture	Study	Study								300705	0	1	9990	1	0	next	other	0
	9	Picture	Stim;Main;1;2;1111111111112111121121121;1111121111111111121121121;Right;0	Stim	Main	1	2	1111111111112111121121121	1111121111111111121121121	Right	0	340832	0	1	39961	1	0	next	miss	0
	10	Picture	ITI	ITI								380793	0	1	1998	1	0	next	other	0
	11	Picture	Study	Study								382791	0	1	9990	1	0	next	other	0
	13	Picture	Stim;Main;1;3;1111111111112111111112211;1111111111112111111112112;Left;0	Stim	Main	1	3	1111111111112111111112211	1111111111112111111112112	Left	0	422919	0	1	39961	1	0	next	miss	0
	14	Picture	ITI	ITI								462879	0	1	1998	1	0	next	other	0
	15	Picture	Study	Study								464878	0	1	9990	1	0	next	other	0
	17	Picture	Stim;Main;1;4;1111111111121111112111111;1111111111121111111111211;Right;0	Stim	Main	1	4	1111111111121111112111111	1111111111121111111111211	Right	0	505005	0	1	39961	1	0	next	miss	0
	18	Picture	ITI	ITI								544966	0	1	1998	1	0	next	other	0
	19	Picture	Study	Study								546964	0	1	9990	1	0	next	other	0
	21	Picture	Stim;Main;1;5;1111111111111112111111121;1111111111111112111121111;Left;0	Stim	Main	1	5	1111111111111112111111121	1111111111111112111121111	Left	0	587091	0	1	39961	1	0	next	miss	0
	22	Picture	ITI	ITI								627052	0	1	1998	1	0	next	other	0
	23	Picture	Study	Study								629050	0	1	9990	1	0	next	other	0
	25	Picture	Stim;Main;1;6;1111111111211111111211111;2111111111211111111111111;Left;0	Stim	Main	1	6	1111111111211111111211111	2111111111211111111111111	Left	0	669178	0	1	39961	1	0	next	miss	0
	27	Picture	ITI	ITI								849168	0	1	1998	1	0	next	other	0
	28	Picture	Study	Study								851166	0	1	9990	1	0	next	other	0
	30	Picture	Stim;Main;1;1;1112111111111111112111111;1112111111111111111121111;Right;0	Stim	Main	1	1	1112111111111111112111111	1112111111111111111121111	Right	0	891293	0	1	39961	1	0	next	miss	0
	31	Picture	ITI	ITI								931254	0	1	1998	1	0	next	other	0
	32	Picture	Study	Study								933252	0	1	9990	1	0	next	other	0
	34	Picture	Stim;Main;1;2;1111111112111112111111111;1111111112111111111111112;Right;0	Stim	Main	1	2	1111111112111112111111111	1111111112111111111111112	Right	0	973380	0	1	39961	1	0	next	miss	0
	35	Picture	ITI	ITI								1013341	0	1	1998	1	0	next	other	0
	36	Picture	Study	Study								1015339	0	1	9990	1	0	next	other	0
	38	Picture	Stim;Main;1;3;1121111111111112111111111;1111111111111112121111111;Left;0	Stim	Main	1	3	1121111111111112111111111	1111111111111112121111111	Left	0	1055466	0	1	39961	1	0	next	miss	0
	39	Picture	ITI	ITI								1095427	0	1	1998	1	0	next	other	0
	40	Picture	Study	Study								1097425	0	1	9990	1	0	next	other	0
	42	Picture	Stim;Main;1;4;1111112111111111211112211;1111112111111111211121211;Right;0	Stim	Main	1	4	1111112111111111211112211	1111112111111111211121211	Right	0	1137552	0	1	39961	1	0	next	miss	0
	43	Picture	ITI	ITI								1177513	0	1	1998	1	0	next	other	0
	44	Picture	Study	Study								1179511	0	1	9990	1	0	next	other	0
	46	Picture	Stim;Main;1;5;1212111111111112111111111;1112112111111112111111111;Left;0	Stim	Main	1	5	1212111111111112111111111	1112112111111112111111111	Left	0	1219639	0	1	39961	1	0	next	miss	0
	47	Picture	ITI	ITI								1259600	0	1	1998	1	0	next	other	0
	48	Picture	Study	Study								1261598	0	1	9990	1	0	next	other	0
	50	Picture	Stim;Main;1;6;1111111111122121111111111;1111111111112121111211111;Left;0	Stim	Main	1	6	1111111111122121111111111	1111111111112121111211111	Left	0	1301725	0	1	39961	1	0	next	miss	0
	52	Picture	ITI	ITI								1481716	0	1	1998	1	0	next	other	0
	53	Picture	Study	Study								1483714	0	1	9990	1	0	next	other	0
	55	Picture	Stim;Main;1;1;1111121111211121111111121;1111121111211211111111121;Right;0	Stim	Main	1	1	1111121111211121111111121	1111121111211211111111121	Right	0	1523841	0	1	39961	1	0	next	miss	0
	56	Picture	ITI	ITI								1563802	0	1	1998	1	0	next	other	0
	57	Picture	Study	Study								1565800	0	1	9990	1	0	next	other	0
	59	Picture	Stim;Main;1;2;2111111121121111111111211;2111111111121111111112211;Right;0	Stim	Main	1	2	2111111121121111111111211	2111111111121111111112211	Right	0	1605927	0	1	39961	1	0	next	miss	0
	60	Picture	ITI	ITI								1645888	0	1	1998	1	0	next	other	0
	61	Picture	Study	Study								1647886	0	1	9990	1	0	next	other	0
	63	Picture	Stim;Main;1;3;1111112112211121111111111;1111111112211121111121111;Left;0	Stim	Main	1	3	1111112112211121111111111	1111111112211121111121111	Left	0	1688014	0	1	39961	1	0	next	miss	0
	64	Picture	ITI	ITI								1727975	0	1	1998	1	0	next	other	0
	65	Picture	Study	Study								1729973	0	1	9990	1	0	next	other	0
	67	Picture	Stim;Main;1;4;1111122111121112111111111;1111122111121111112111111;Right;0	Stim	Main	1	4	1111122111121112111111111	1111122111121111112111111	Right	0	1770100	0	1	39961	1	0	next	miss	0
	68	Picture	ITI	ITI								1810061	0	1	1998	1	0	next	other	0
	69	Picture	Study	Study								1812059	0	1	9990	1	0	next	other	0
	71	Picture	Stim;Main;1;5;1112111111111111111121111;1112111121111111111111111;Left;0	Stim	Main	1	5	1112111111111111111121111	1112111121111111111111111	Left	0	1852186	0	1	39961	1	0	next	miss	0
	72	Picture	ITI	ITI								1892147	0	1	1998	1	0	next	other	0
	73	Picture	Study	Study								1894145	0	1	9990	1	0	next	other	0
	75	Picture	Stim;Main;1;6;1111112111211111111111111;1111111111221111111111111;Left;0	Stim	Main	1	6	1111112111211111111111111	1111111111221111111111111	Left	0	1934273	0	1	39961	1	0	next	miss	0
	77	Picture	ITI	ITI								2114263	0	1	1998	1	0	next	other	0
	78	Picture	Study	Study								2116261	0	1	9990	1	0	next	other	0
	80	Picture	Stim;Main;1;1;1211111112122111111111111;1212111111122111111111111;Right;0	Stim	Main	1	1	1211111112122111111111111	1212111111122111111111111	Right	0	2156389	0	1	39961	1	0	next	miss	0
	81	Picture	ITI	ITI								2196349	0	1	1998	1	0	next	other	0
	82	Picture	Study	Study								2198347	0	1	9990	1	0	next	other	0
	84	Picture	Stim;Main;1;2;1111111111212112111111121;1111121111212111111111121;Right;0	Stim	Main	1	2	1111111111212112111111121	1111121111212111111111121	Right	0	2238475	0	1	39961	1	0	next	miss	0
	85	Picture	ITI	ITI								2278436	0	1	1998	1	0	next	other	0
	86	Picture	Study	Study								2280434	0	1	9990	1	0	next	other	0
