Scenario - Match to Sample
Logfile written - 07/24/2019 09:49:15

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
ssd	72	Picture	Stim;Main;1;5;2111111111211111111121111;2111111111111111121121111;Left;0	Stim	Main	1	5	2111111111211111111121111	2111111111111111121121111	Left	0	2250091	0	1	40076	1	0	next	miss	0
ssd	73	Picture	ITI	ITI								2290167	0	1	2004	1	0	next	other	0
ssd	74	Picture	Study	Study								2292171	0	1	10019	1	0	next	other	0
ssd	76	Picture	Stim;Main;1;6;1111111111111121112111111;1121111111111121111111111;Left;0	Stim	Main	1	6	1111111111111121112111111	1121111111111121111111111	Left	0	2332247	0	1	40076	1	0	next	miss	0
ssd	78	Picture	ITI	ITI								2512421	0	1	2004	1	0	next	other	0
ssd	79	Picture	Study	Study								2514425	0	1	10019	1	0	next	other	0
ssd	81	Picture	Stim;Main;1;1;1111111211111211221111111;1111111111111211221111211;Right;0	Stim	Main	1	1	1111111211111211221111111	1111111111111211221111211	Right	0	2554500	0	1	40076	1	0	next	miss	0
ssd	82	Picture	ITI	ITI								2594576	0	1	2004	1	0	next	other	0
ssd	83	Picture	Study	Study								2596580	0	1	10019	1	0	next	other	0
ssd	85	Picture	Stim;Main;1;2;1111111111111112111111121;1111111111111111121111121;Left;0	Stim	Main	1	2	1111111111111112111111121	1111111111111111121111121	Left	0	2636656	0	1	40076	1	0	next	miss	0
ssd	86	Picture	ITI	ITI								2676732	0	1	2004	1	0	next	other	0
ssd	87	Picture	Study	Study								2678736	0	1	10019	1	0	next	other	0
ssd	89	Picture	Stim;Main;1;3;1111112111111121211111111;1111112111111111211111112;Right;0	Stim	Main	1	3	1111112111111121211111111	1111112111111111211111112	Right	0	2718811	0	1	40076	1	0	next	miss	0
ssd	90	Picture	ITI	ITI								2758887	0	1	2004	1	0	next	other	0
ssd	91	Picture	Study	Study								2760891	0	1	10019	1	0	next	other	0
