Scenario - Match to Sample
Logfile written - 06/28/2022 08:50:16

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	1	Picture	ITI	ITI								333	0	1	2997	1	0	next	other	0
	2	Picture	Study	Study								3329	0	1	9990	1	0	next	other	0
	4	Picture	Stim;Practice;0;1;212122111;211222111;Left;0	Stim	Practice	0	1	212122111	211222111	Left	0	43457	0	1	39961	1	0	next	miss	0
	5	Picture	ITI	ITI								83418	0	1	2997	1	0	next	other	0
	6	Picture	Study	Study								86415	0	1	9990	1	0	next	other	0
	8	Picture	Stim;Practice;0;2;212121121;212111122;Right;0	Stim	Practice	0	2	212121121	212111122	Right	0	126542	0	1	39961	1	0	next	miss	0
	9	Picture	ITI	ITI								166503	0	1	2997	1	0	next	other	0
	10	Picture	Study	Study								169500	0	1	9990	1	0	next	other	0
	12	Picture	Stim;Practice;0;3;121211121;111211221;Left;0	Stim	Practice	0	3	121211121	111211221	Left	0	209628	0	1	39961	1	0	next	miss	0
	13	Picture	ITI	ITI								249589	0	1	2997	1	0	next	other	0
	14	Picture	Study	Study								252586	0	1	9990	1	0	next	other	0
	16	Picture	Stim;Practice;0;4;111111122;211111121;Left;0	Stim	Practice	0	4	111111122	211111121	Left	0	292713	0	1	39961	1	0	next	miss	0
	17	Picture	ITI	ITI								332674	0	1	2997	1	0	next	other	0
	18	Picture	Study	Study								335671	0	1	9990	1	0	next	other	0
	20	Picture	Stim;Practice;0;5;121222111;112222111;Right;0	Stim	Practice	0	5	121222111	112222111	Right	0	375798	0	1	39961	1	0	next	miss	0
	21	Picture	ITI	ITI								415759	0	1	2997	1	0	next	other	0
	22	Picture	Study	Study								418756	0	1	9990	1	0	next	other	0
	24	Picture	Stim;Practice;0;6;111122111;111112211;Left;0	Stim	Practice	0	6	111122111	111112211	Left	0	458884	0	1	39961	1	0	next	miss	0
	25	Picture	ITI	ITI								498845	0	1	2997	1	0	next	other	0
	26	Picture	Study	Study								501842	0	1	9990	1	0	next	other	0
	28	Picture	Stim;Practice;0;1;212111221;112121221;Left;0	Stim	Practice	0	1	212111221	112121221	Left	0	541969	0	1	28281	1	0	next	miss	0
	28	Quit										565540	23571	NA
